G1 G1GD101 Depth m,G1 G1GD103 Depth m,G1 G1GD105 Depth m,G1 G1GD107 Depth m,G1 G1GD109 Depth m,G1 G1GD111 Depth m,G1 G1GD113 Depth m,G1 G1GD201 Depth m,G1 G1GD203 Depth m,G1 G1GD205 Depth m,G1 G1GD207 Depth m,G1 G1GD209 Depth m,G1 G1GD211 Depth m,G1 G1GD213 Depth m,G2 G2GD301 Depth m,G2 G2GD303 Depth m,G2 G2GD305 Depth m,G2 G2GD307 Depth m,G2 G2GD309 Depth m,G2 G2GD311 Depth m,G2 G2GD313 Depth m,G2 G2GD401 Depth m,G2 G2GD403 Depth m,G2 G2GD405 Depth m,G2 G2GD407 Depth m,G2 G2GD409 Depth m,G2 G2GD411 Depth m,G2 G2GD413 Depth m,G3 G3GD501 Depth m,G3 G3GD503 Depth m,G3 G3GD505 Depth m,G3 G3GD507 Depth m,G3 G3GD509 Depth m,G3 G3GD511 Depth m,G3 G3GD513 Depth m,G3 G3GD601 Depth m,G3 G3GD603 Depth m,G3 G3GD605 Depth m,G3 G3GD607 Depth m,G3 G3GD609 Depth m,G3 G3GD611 Depth m,G3 G3GD613 Depth m,Seq
7.01,7.32,7.35,7.17,7.22,7.12,7.06,7.27,7.36,7.25,7.08,7.22,7.16,6.98,7.15,7.27,7.24,7.08,7.09,7.08,6.92,7.09,7.21,7.21,7.07,7.1,7.18,6.84,7.2,7.23,7.24,7.13,7.19,7.12,7.24,7.25,7.22,7.27,7.29,7.14,7.19,7.1,001
7.11,7.39,7.42,7.25,7.28,7.17,7.1,7.36,7.43,7.33,7.15,7.29,7.22,7.05,7.18,7.36,7.32,7.18,7.19,7.17,7.02,7.14,7.26,7.26,7.11,7.14,7.21,6.87,7.2,7.23,7.24,7.11,7.18,7.1,7.21,7.32,7.24,7.24,7.31,7.12,7.12,7.1,002
7.02,7.32,7.36,7.18,7.23,7.12,7.07,7.26,7.36,7.25,7.08,7.22,7.17,6.99,7.06,7.27,7.24,7.09,7.1,7.08,6.92,7.08,7.21,7.21,7.07,7.11,7.17,6.83,7.2,7.24,7.24,7.13,7.2,7.13,7.24,7.26,7.23,7.26,7.22,7.06,7.1,7.11,003
7.09,7.37,7.4,7.22,7.27,7.15,7.09,7.32,7.4,7.3,7.12,7.25,7.2,7.01,7.13,7.33,7.29,7.15,7.16,7.14,6.97,7.11,7.24,7.23,7.08,7.12,7.19,6.81,7.16,7.22,7.22,7.09,7.16,7.08,7.17,7.23,7.21,7.25,7.19,7.05,7.06,7.07,004
7.03,7.31,7.35,7.17,7.21,7.09,7.05,7.24,7.35,7.23,7.06,7.18,7.13,6.94,7.05,7.26,7.22,7.08,7.09,7.07,6.9,7.07,7.22,7.21,7.06,7.09,7.18,6.8,7.19,7.24,7.24,7.11,7.19,7.11,7.21,7.23,7.23,7.25,7.21,7.07,7.08,7.08,005
7.08,7.35,7.39,7.2,7.25,7.14,7.08,7.28,7.39,7.29,7.11,7.24,7.2,7.0,7.1,7.3,7.26,7.12,7.13,7.11,6.95,7.06,7.21,7.21,7.05,7.09,7.17,6.78,7.13,7.18,7.14,7.08,7.17,7.09,6.91,7.22,7.22,7.26,7.21,7.08,7.08,7.09,006
7.04,7.32,7.36,7.18,7.24,7.13,7.08,7.25,7.35,7.24,7.08,7.21,7.16,6.98,7.03,7.26,7.23,7.08,7.1,7.08,6.92,7.07,7.21,7.21,7.06,7.1,7.19,6.81,7.15,7.19,7.15,7.1,7.19,7.12,6.94,7.2,7.22,7.26,7.21,7.1,7.1,7.11,007
7.04,7.32,7.36,7.17,7.24,7.12,7.08,7.25,7.36,7.26,7.09,7.22,7.17,6.99,7.05,7.28,7.25,7.09,7.11,7.09,6.94,7.09,7.19,7.18,7.02,7.06,7.09,7.02,7.11,7.14,7.12,7.06,7.16,7.08,6.89,7.17,7.24,7.25,7.09,7.04,7.07,7.08,008
7.05,7.33,7.36,7.18,7.25,7.15,7.09,7.26,7.36,7.26,7.09,7.23,7.18,7.0,7.05,7.28,7.25,7.08,7.12,7.1,6.95,7.14,7.23,7.22,7.06,7.12,7.18,7.07,7.17,7.2,7.16,7.11,7.21,7.13,6.95,7.18,7.27,7.28,7.12,7.07,7.11,7.13,009
7.04,7.32,7.34,7.17,7.24,7.12,7.07,7.23,7.36,7.25,7.09,7.22,7.17,7.0,7.03,7.26,7.23,7.08,7.1,7.09,6.93,7.08,7.19,7.18,7.02,7.08,7.16,7.01,7.1,7.15,7.12,7.06,7.16,7.07,6.89,7.13,7.24,7.26,7.08,7.04,7.08,7.08,010
7.03,7.32,7.36,7.18,7.23,7.12,7.07,7.25,7.36,7.25,7.08,7.22,7.17,6.98,7.03,7.26,7.23,7.08,7.1,7.07,6.93,7.15,7.23,7.22,7.07,7.13,7.22,7.06,7.18,7.22,7.18,7.12,7.22,7.14,6.96,7.18,7.28,7.31,7.14,7.09,7.13,7.13,011
7.06,7.32,7.37,7.18,7.24,7.13,7.07,7.26,7.37,7.26,7.1,7.23,7.18,7.01,7.06,7.28,7.25,7.1,7.12,7.1,6.95,7.11,7.21,7.21,7.04,7.11,7.2,7.03,7.14,7.18,7.14,7.08,7.18,7.1,6.92,7.1,7.24,7.29,7.11,7.07,7.1,7.11,012
7.1,7.34,7.38,7.21,7.26,7.15,7.1,7.27,7.37,7.27,7.1,7.24,7.18,7.02,7.07,7.29,7.26,7.11,7.13,7.11,6.96,7.17,7.25,7.24,7.08,7.15,7.25,7.08,7.2,7.22,7.2,7.13,7.23,7.16,6.98,7.14,7.29,7.33,7.16,7.11,7.14,7.15,013
7.05,7.3,7.34,7.16,7.22,7.11,7.05,7.23,7.34,7.25,7.07,7.21,7.16,6.98,6.99,7.22,7.12,7.04,7.07,7.05,6.88,7.08,7.18,7.17,7.0,7.09,7.18,7.0,7.1,7.16,7.13,7.07,7.17,7.09,6.91,7.06,7.24,7.28,7.1,7.05,7.08,7.09,014
6.93,7.36,7.38,7.22,7.28,7.17,7.17,7.31,7.4,7.3,7.13,7.27,7.21,7.05,7.1,7.32,7.19,7.14,7.17,7.15,7.0,7.19,7.27,7.26,7.1,7.19,7.29,7.11,7.21,7.22,7.2,7.14,7.24,7.17,6.99,7.15,7.3,7.35,7.17,7.12,7.16,7.17,015
6.84,7.31,7.34,7.16,7.23,7.1,7.1,7.23,7.34,7.24,7.07,7.21,7.16,6.98,6.99,7.21,7.11,7.03,7.06,7.04,6.88,7.08,7.18,7.17,7.0,7.09,7.18,6.98,7.12,7.16,7.13,7.08,7.18,7.1,6.92,7.12,7.29,7.29,7.05,7.06,7.08,7.03,016
6.92,7.35,7.38,7.2,7.27,7.15,7.15,7.27,7.37,7.27,7.1,7.25,7.18,7.02,7.04,7.27,7.16,7.09,7.12,7.11,6.95,7.15,7.24,7.23,7.08,7.16,7.26,7.07,7.18,7.2,7.18,7.12,7.23,7.16,6.97,7.12,7.31,7.32,7.17,7.09,7.13,7.08,017
6.89,7.31,7.34,7.17,7.22,7.11,7.1,7.23,7.35,7.25,7.07,7.22,7.16,6.98,6.99,7.22,7.12,7.04,7.06,7.05,6.88,7.07,7.18,7.17,7.01,7.09,7.18,6.99,7.11,7.16,7.13,7.08,7.18,7.1,6.92,7.01,7.28,7.31,7.04,7.07,7.09,6.97,018
6.96,7.37,7.39,7.22,7.28,7.16,7.16,7.3,7.39,7.29,7.12,7.26,7.21,7.04,7.09,7.32,7.21,7.14,7.16,7.15,6.98,7.21,7.29,7.28,7.12,7.2,7.31,7.11,7.22,7.22,7.21,7.15,7.25,7.17,6.99,7.16,7.27,7.27,7.08,7.13,7.15,7.01,019
6.93,7.34,7.38,7.2,7.25,7.13,7.11,7.26,7.37,7.27,7.09,7.22,7.17,6.97,7.0,7.23,7.13,7.05,7.08,7.06,6.89,7.08,7.19,7.18,7.03,7.1,7.2,6.98,7.11,7.15,7.14,7.07,7.17,7.08,6.9,7.07,7.22,7.23,7.02,7.06,7.08,6.94,020
6.95,7.33,7.37,7.19,7.24,7.12,7.12,7.26,7.36,7.26,7.08,7.22,7.16,6.99,7.07,7.28,7.17,7.1,7.13,7.12,6.94,7.16,7.25,7.26,7.1,7.17,7.29,7.07,7.18,7.2,7.19,7.12,7.22,7.14,6.96,7.11,7.25,7.26,7.07,7.1,7.12,6.98,021
6.9,7.31,7.34,7.17,7.23,7.11,7.1,7.22,7.29,7.25,7.06,7.2,7.14,7.0,6.98,7.21,7.12,7.04,7.06,7.04,6.88,7.07,7.17,7.18,7.01,7.09,7.2,6.98,7.13,7.16,7.14,7.08,7.18,7.1,6.92,7.05,7.21,7.23,7.02,7.07,7.09,6.96,022
6.96,7.35,7.38,7.22,7.28,7.16,7.16,7.29,7.34,7.29,7.11,7.26,7.19,7.04,7.08,7.3,7.2,7.12,7.17,7.14,6.99,7.17,7.27,7.27,7.1,7.19,7.3,7.09,7.22,7.23,7.2,7.14,7.24,7.16,6.99,7.13,7.27,7.29,7.07,7.12,7.15,7.02,023
6.97,7.32,7.34,7.18,7.24,7.12,7.12,7.23,7.29,7.26,7.07,7.22,7.15,7.01,6.97,7.22,7.11,7.02,7.06,7.05,6.88,7.07,7.19,7.2,7.02,7.1,7.21,6.99,7.13,7.17,7.13,7.09,7.19,7.1,6.92,7.07,7.23,7.25,7.03,7.08,7.1,6.97,024
7.03,7.37,7.39,7.22,7.29,7.17,7.18,7.29,7.34,7.3,7.11,7.26,7.19,7.04,7.09,7.32,7.2,7.14,7.17,7.15,6.99,7.18,7.28,7.3,7.12,7.2,7.31,7.11,7.22,7.24,7.2,7.16,7.25,7.18,7.0,7.14,7.28,7.31,7.09,7.13,7.17,7.03,025
6.94,7.31,7.33,7.17,7.24,7.11,7.1,7.21,7.3,7.26,7.06,7.21,7.15,6.99,6.96,7.19,7.09,7.03,7.05,7.03,6.85,7.04,7.18,7.2,7.01,7.09,7.19,6.96,7.11,7.14,7.11,7.07,7.16,7.08,6.88,7.05,7.22,7.25,7.09,7.1,7.08,6.97,026
7.03,7.37,7.39,7.23,7.3,7.18,7.17,7.29,7.34,7.3,7.11,7.25,7.2,7.05,7.1,7.32,7.21,7.14,7.18,7.15,6.99,7.12,7.3,7.31,7.13,7.21,7.33,7.12,7.23,7.24,7.2,7.16,7.26,7.19,7.0,7.18,7.28,7.32,7.1,7.18,7.17,7.07,027
6.95,7.31,7.32,7.17,7.24,7.12,7.12,7.22,7.29,7.27,7.07,7.2,7.15,7.0,6.97,7.21,7.11,7.05,7.07,7.05,6.88,6.96,7.18,7.19,7.05,7.03,7.02,7.02,7.11,7.15,7.11,7.08,7.18,7.1,6.89,7.09,7.22,7.26,7.02,7.1,7.09,6.98,028
7.01,7.36,7.37,7.22,7.28,7.17,7.18,7.29,7.33,7.3,7.11,7.25,7.19,7.05,7.08,7.31,7.19,7.14,7.18,7.16,7.0,7.21,7.28,7.29,7.16,7.13,7.14,7.16,7.21,7.23,7.19,7.17,7.25,7.18,6.98,7.17,7.29,7.31,7.09,7.17,7.15,7.06,029
6.96,7.31,7.31,7.16,7.24,7.13,7.12,7.22,7.29,7.25,7.07,7.21,7.14,7.0,6.97,7.22,7.11,7.05,7.08,7.06,6.9,7.11,7.17,7.19,7.07,7.02,7.04,7.03,7.12,7.16,7.12,7.1,7.2,7.11,6.9,7.09,7.24,7.27,7.03,7.12,7.1,7.0,030
7.0,7.34,7.35,7.19,7.28,7.16,7.18,7.26,7.32,7.29,7.11,7.25,7.18,7.05,7.07,7.31,7.19,7.13,7.17,7.15,7.0,7.22,7.26,7.28,7.16,7.1,7.13,7.13,7.18,7.21,7.17,7.14,7.24,7.16,6.95,7.15,7.28,7.3,7.07,7.15,7.13,7.05,031
6.99,7.31,7.32,7.16,7.24,7.12,7.13,7.21,7.29,7.26,7.06,7.2,7.13,6.99,6.96,7.22,7.11,7.05,7.07,7.05,6.89,7.12,7.17,7.19,7.07,7.01,7.03,7.02,7.12,7.17,7.13,7.1,7.21,7.12,6.91,7.07,7.24,7.27,7.02,7.1,7.09,7.0,032
