NB1TN1 Raw Average Tension kg,NB2TN1 Raw Average Tension kg,NB1TN2 Raw Average Tension kg,NB2TN2 Raw Average Tension kg,V1 CMG Â°,Seq
19143.0,19273.8,29382.1,30144.8,359.95,001
19113.2,17830.6,27376.1,27298.4,179.86,002
20333.6,19854.6,29848.2,30506.4,359.86,003
21235.6,20371.9,30021.2,30274.5,180.03,004
21862.7,21854.6,31372.6,32137.2,359.92,005
22450.5,21537.0,31785.0,32201.3,179.99,006
21032.0,21084.5,30379.6,31202.4,359.96,007
23581.5,22019.4,32847.6,32964.9,179.95,008
20188.0,20280.5,28764.9,29459.9,359.94,009
23941.3,22388.8,33298.6,33669.4,179.95,010
21352.7,20923.6,30053.8,30844.8,359.87,011
21492.1,21563.3,31304.3,31887.7,179.98,012
19057.8,18582.2,27444.5,28095.5,359.84,013
23230.6,22959.5,33190.2,33812.4,179.97,014
17100.1,16592.2,24657.9,25024.2,359.85,015
23404.5,23069.5,33352.6,34264.8,179.96,016
19059.3,18919.3,27519.0,28262.2,359.93,017
22886.3,22035.9,33067.0,33615.2,180.01,018
17318.0,16947.7,25675.6,26023.6,359.85,019
23176.7,22635.6,34162.7,34645.9,180.04,020
19209.0,19183.7,28135.7,29202.7,359.88,021
23683.3,23180.7,33991.7,34467.2,180.0,022
17517.8,17600.4,25730.9,26526.5,359.84,023
23316.5,22751.0,33366.2,34056.2,179.94,024
17503.3,16896.1,24994.1,25137.5,359.77,025
25036.3,23386.9,35275.1,35259.4,179.93,026
16185.8,15974.0,23986.8,24295.4,359.74,027
23514.6,22072.9,34120.8,34155.5,179.92,028
16777.0,16638.7,24700.9,25000.1,359.75,029
21988.2,21525.2,32516.9,32478.4,179.91,030
18400.3,17757.8,26331.8,26523.4,359.8,031
21896.3,22877.9,32749.2,32937.9,179.94,032
18779.9,17455.5,26090.5,25957.2,359.79,033
