V1 - G1 DA m,V1 - G2 DA m,V1 - G3 DA m,V1 - S01 CNG DA m,V1 - S02 CNG DA m,V1 - S03 CNG DA m,V1 - S04 CNG DA m,V1 - S05 CNG DA m,V1 - S06 CNG DA m,V1 - S07 CNG DA m,V1 - S08 CNG DA m,V1 - S09 CNG DA m,V1 - S10 CNG DA m,V1 - S11 CNG DA m,V1 - S12 CNG DA m,Seq
618.07,621.87,624.16,667.2,674.82,682.0,687.46,696.99,705.95,713.24,720.99,727.1,737.11,745.04,756.52,001
623.21,620.96,617.86,752.3,745.39,736.76,726.48,718.52,711.9,702.7,694.34,683.82,678.78,670.03,661.6,002
616.22,621.01,624.36,652.39,665.39,674.93,682.02,692.27,701.85,714.51,723.78,731.41,743.37,752.65,763.88,003
621.78,616.15,610.51,787.38,775.11,759.52,741.87,726.31,711.45,695.5,679.02,661.21,647.99,630.29,611.5,004
616.77,621.26,625.03,643.88,660.11,671.3,679.76,691.29,702.08,714.76,724.79,733.27,745.27,753.97,763.5,005
624.52,621.14,617.42,758.9,752.82,743.24,731.82,722.81,713.65,704.11,692.84,680.29,671.96,659.8,647.46,006
619.51,623.04,625.2,665.55,678.24,685.76,690.62,698.88,706.51,714.88,721.47,726.63,735.25,740.39,746.12,007
624.71,623.28,621.17,742.04,740.12,734.95,726.41,720.48,714.31,708.21,702.17,693.45,688.97,680.55,671.18,008
618.5,622.52,624.61,658.88,672.83,681.82,687.87,696.65,704.56,713.9,721.09,727.23,736.98,742.35,747.63,009
624.86,622.95,620.17,751.19,748.32,741.09,730.77,723.26,714.91,707.19,700.4,690.54,685.05,675.08,663.69,010
615.03,620.53,624.54,631.95,650.43,664.32,674.86,688.45,700.52,714.49,726.31,736.81,751.25,761.54,771.43,011
624.59,624.02,622.32,727.98,728.58,724.96,719.22,716.91,713.65,709.94,706.93,701.36,700.04,694.36,688.57,012
618.44,622.47,624.41,666.45,678.74,685.99,690.28,698.24,705.05,713.7,720.74,726.76,736.65,742.51,748.84,013
623.8,624.61,624.31,708.85,713.02,713.53,711.57,712.25,711.82,711.91,712.06,709.53,710.63,707.85,704.89,014
617.81,621.87,622.94,679.87,690.95,695.83,696.81,701.36,705.71,712.88,719.49,725.57,735.53,740.56,744.92,015
623.43,624.59,624.65,701.11,707.53,709.38,708.64,710.76,711.21,713.27,715.41,715.31,718.72,718.22,717.12,016
619.18,621.91,622.25,686.99,695.77,699.35,699.62,703.19,706.49,710.78,715.75,718.89,725.49,727.94,730.23,017
623.01,624.65,625.02,699.44,705.19,707.19,706.79,709.73,711.2,714.12,716.51,717.18,721.69,722.56,723.84,018
619.49,621.66,622.42,689.55,697.01,699.46,698.63,702.69,706.87,710.01,713.68,716.42,722.56,724.88,728.43,019
625.13,624.15,622.67,724.03,722.89,719.96,716.14,715.09,713.25,709.36,706.58,701.78,700.42,695.96,693.0,020
619.4,621.3,622.72,687.42,695.03,697.84,697.79,702.2,706.0,710.92,715.39,718.31,724.53,727.27,731.31,021
623.51,624.54,624.69,700.92,705.7,707.36,707.03,709.77,711.07,712.05,714.01,713.67,716.47,715.91,716.23,022
620.26,619.46,616.59,742.67,740.45,732.79,722.42,715.64,708.83,702.85,697.92,691.08,687.61,680.0,673.1,023
620.47,623.58,625.34,673.86,683.94,690.84,695.01,702.27,708.29,714.75,721.61,726.41,735.02,739.79,745.01,024
622.33,621.35,617.99,750.74,748.34,739.96,727.88,719.45,711.33,705.68,698.82,691.47,687.66,678.97,670.3,025
623.35,624.76,625.28,693.07,699.37,703.4,704.87,708.63,711.51,713.2,717.23,718.38,723.96,725.08,725.91,026
621.94,621.96,619.65,734.43,733.68,728.08,719.05,714.52,710.24,706.99,703.76,699.17,699.0,693.9,690.46,027
623.4,624.58,624.73,703.96,707.53,708.91,708.2,710.3,711.1,711.95,714.0,713.69,716.91,716.81,718.18,028
622.17,622.34,620.18,732.32,731.79,726.64,718.37,713.9,709.86,706.58,703.29,698.43,697.36,692.13,688.53,029
619.92,623.14,624.99,673.66,684.02,690.55,694.58,701.71,707.26,713.62,721.51,727.2,736.6,742.33,748.54,030
623.07,621.26,617.68,756.25,751.7,742.72,730.58,720.61,711.56,702.19,693.51,683.22,676.47,665.09,654.14,031
616.33,621.14,624.49,641.39,658.76,670.5,679.59,691.78,702.28,713.79,726.69,737.4,751.39,761.69,771.2,032
622.69,621.28,618.45,752.93,749.77,741.86,730.0,719.99,711.19,702.87,694.29,684.21,678.04,666.66,654.86,033
618.23,622.27,625.03,655.1,670.16,680.05,687.12,697.04,705.58,713.98,725.26,734.1,746.13,753.96,761.49,034
623.18,622.68,620.36,743.42,741.96,735.73,726.0,718.52,710.85,706.07,700.94,694.05,690.56,682.64,674.42,035
618.02,621.96,624.72,657.9,672.11,680.57,687.14,696.57,704.46,713.32,723.56,731.29,742.03,749.23,756.82,036
623.59,623.41,621.75,738.25,739.04,731.77,723.31,717.71,712.07,707.49,703.5,697.52,694.38,687.5,681.41,037
618.17,621.26,623.04,678.1,688.55,692.14,695.03,700.73,706.22,711.67,717.92,722.41,729.94,734.21,739.56,038
614.05,611.35,606.12,772.59,764.08,748.45,729.65,715.47,703.75,690.51,680.01,668.34,659.93,647.39,635.41,039
624.93,623.91,621.62,743.75,743.61,734.74,725.97,721.11,714.64,710.27,706.21,699.81,696.13,688.72,679.84,040
621.62,623.49,624.78,685.03,696.22,698.51,699.12,704.29,708.17,713.86,718.91,722.22,728.48,731.43,735.23,041
624.89,624.61,623.68,712.73,717.64,715.43,712.86,713.38,712.81,711.86,711.56,709.64,710.99,708.47,705.35,042
